trial,method,n,m,k,noise_std,matrix_type,nrmse,precision,recall,f1,exact_support
34,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.017292720326077794,0.9454545454545454,0.9454545454545454,0.9454545454545454,0
34,CoSaMP,256,128,55,0.01,gaussian,0.5368123493959767,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
35,CorrelationTopK,256,128,55,0.01,gaussian,0.716892481380492,0.41818181818181815,0.41818181818181815,0.41818181818181815,0
35,LearnedSupportMLP,256,128,55,0.01,gaussian,0.6539397670076347,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
35,OMP,256,128,55,0.01,gaussian,0.017531383236723166,0.9636363636363636,0.9636363636363636,0.9636363636363636,0
35,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.015678110313791224,0.9818181818181818,0.9818181818181818,0.9818181818181818,0
35,CoSaMP,256,128,55,0.01,gaussian,0.3503552506900096,0.5454545454545454,0.5454545454545454,0.5454545454545454,0
36,CorrelationTopK,256,128,55,0.01,gaussian,0.44415086628321376,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
36,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5294224233360753,0.41818181818181815,0.41818181818181815,0.41818181818181815,0
36,OMP,256,128,55,0.01,gaussian,0.09171293630267179,0.8,0.8,0.8000000000000002,0
36,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.08640542025247512,0.8363636363636363,0.8363636363636363,0.8363636363636363,0
36,CoSaMP,256,128,55,0.01,gaussian,0.38671749056483234,0.5636363636363636,0.5636363636363636,0.5636363636363636,0
37,CorrelationTopK,256,128,55,0.01,gaussian,0.5962914304540522,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
37,LearnedSupportMLP,256,128,55,0.01,gaussian,0.49801218007439285,0.5636363636363636,0.5636363636363636,0.5636363636363636,0
37,OMP,256,128,55,0.01,gaussian,0.013429866717493535,1.0,1.0,1.0,1
37,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.013429866717493969,1.0,1.0,1.0,1
37,CoSaMP,256,128,55,0.01,gaussian,0.39151460215684475,0.6363636363636364,0.6363636363636364,0.6363636363636364,0
38,CorrelationTopK,256,128,55,0.01,gaussian,0.7425436004991245,0.4,0.4,0.4000000000000001,0
38,LearnedSupportMLP,256,128,55,0.01,gaussian,0.6550112425058944,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
38,OMP,256,128,55,0.01,gaussian,0.03579355601019873,0.9272727272727272,0.9272727272727272,0.9272727272727272,0
38,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.04218288971937645,0.9272727272727272,0.9272727272727272,0.9272727272727272,0
38,CoSaMP,256,128,55,0.01,gaussian,0.39917897007085834,0.6181818181818182,0.6181818181818182,0.6181818181818182,0
39,CorrelationTopK,256,128,55,0.01,gaussian,0.8010329256108455,0.4,0.4,0.4000000000000001,0
39,LearnedSupportMLP,256,128,55,0.01,gaussian,0.7797082724326471,0.36363636363636365,0.36363636363636365,0.36363636363636365,0
39,OMP,256,128,55,0.01,gaussian,0.8555636754504853,0.41818181818181815,0.41818181818181815,0.41818181818181815,0
